Area,Sector,Residential No of Rooms,Looking For,Land Unit Value,Sales Cost (Local),Sales Limit Lower (Local),Sales Limit Upper (Local)
dzorwulu,land,2,Buy a property,5,16743335,16386660,17100000
dzorwulu,land,2,Buy a property,6,20092002,19663992,20520000
dzorwulu,land,2,Buy a property,7,23440669,22941324,23940000
dzorwulu,land,2,Buy a property,8,26789336,26218656,27360000
dzorwulu,land,2,Buy a property,9,30138003,29495988,30780000
east-legon-1,land,2,Buy a property,1,2396821,1814268,2979378
east-legon-1,land,2,Buy a property,2,4793642,3628536,5958756
east-legon-1,land,2,Buy a property,3,7190463,5442804,8938134
east-legon-1,land,2,Buy a property,4,9587284,7257072,11917512
east-legon-1,land,2,Buy a property,5,11984105,9071340,14896890
east-legon-1,land,2,Buy a property,6,14380926,10885608,17876268
east-legon-1,land,2,Buy a property,7,16777747,12699876,20855646
east-legon-1,land,2,Buy a property,8,19174568,14514144,23835024
east-legon-1,land,2,Buy a property,9,21571389,16328412,26814402
east-legon-hills,land,2,Buy a property,1,415897,333336,498462
east-legon-hills,land,2,Buy a property,2,831794,666672,996924
east-legon-hills,land,2,Buy a property,3,1247691,1000008,1495386
east-legon-hills,land,2,Buy a property,4,1663588,1333344,1993848
east-legon-hills,land,2,Buy a property,5,2079485,1666680,2492310
east-legon-hills,land,2,Buy a property,6,2495382,2000016,2990772
east-legon-hills,land,2,Buy a property,7,2911279,2333352,3489234
east-legon-hills,land,2,Buy a property,8,3327176,2666688,3987696
east-legon-hills,land,2,Buy a property,9,3743073,3000024,4486158
prampram,land,2,Buy a property,1,62714,49998,75426
prampram,land,2,Buy a property,2,125428,99996,150852
prampram,land,2,Buy a property,3,188142,149994,226278
prampram,land,2,Buy a property,4,250856,199992,301704
prampram,land,2,Buy a property,5,313570,249990,377130
prampram,land,2,Buy a property,6,376284,299988,452556
prampram,land,2,Buy a property,7,438998,349986,527982
prampram,land,2,Buy a property,8,501712,399984,603408
prampram,land,2,Buy a property,9,564426,449982,678834
ridge,land,2,Buy a property,1,5985000,5130000,6840000
ridge,land,2,Buy a property,2,11970000,10260000,13680000
ridge,land,2,Buy a property,3,17955000,15390000,20520000
ridge,land,2,Buy a property,4,23940000,20520000,27360000
ridge,land,2,Buy a property,5,29925000,25650000,34200000
ridge,land,2,Buy a property,6,35910000,30780000,41040000
ridge,land,2,Buy a property,7,41895000,35910000,47880000
ridge,land,2,Buy a property,8,47880000,41040000,54720000
ridge,land,2,Buy a property,9,53865000,46170000,61560000
spintex-road-area,land,2,Buy a property,1,985286,830574,1140000
spintex-road-area,land,2,Buy a property,2,1970572,1661148,2280000
spintex-road-area,land,2,Buy a property,3,2955858,2491722,3420000
spintex-road-area,land,2,Buy a property,4,3941144,3322296,4560000
spintex-road-area,land,2,Buy a property,5,4926430,4152870,5700000
spintex-road-area,land,2,Buy a property,6,5911716,4983444,6840000
spintex-road-area,land,2,Buy a property,7,6897002,5814018,7980000
spintex-road-area,land,2,Buy a property,8,7882288,6644592,9120000
spintex-road-area,land,2,Buy a property,9,8867574,7475166,10260000
tema,land,2,Buy a property,1,364800,48000,681600
tema,land,2,Buy a property,2,729600,96000,1363200
tema,land,2,Buy a property,3,1094400,144000,2044800
tema,land,2,Buy a property,4,1459200,192000,2726400
tema,land,2,Buy a property,5,1824000,240000,3408000
tema,land,2,Buy a property,6,2188800,288000,4089600
tema,land,2,Buy a property,7,2553600,336000,4771200
tema,land,2,Buy a property,8,2918400,384000,5452800
tema,land,2,Buy a property,9,3283200,432000,6134400
tse-addo,land,2,Buy a property,1,1052936,835284,1270590
tse-addo,land,2,Buy a property,2,2105872,1670568,2541180
tse-addo,land,2,Buy a property,3,3158808,2505852,3811770
tse-addo,land,2,Buy a property,4,4211744,3341136,5082360
tse-addo,land,2,Buy a property,5,5264680,4176420,6352950
tse-addo,land,2,Buy a property,6,6317616,5011704,7623540
tse-addo,land,2,Buy a property,7,7370552,5846988,8894130
tse-addo,land,2,Buy a property,8,8423488,6682272,10164720
tse-addo,land,2,Buy a property,9,9476424,7517556,11435310
karen,land,2,Buy a property,1,8749382,8601090,8897676
karen,land,2,Buy a property,2,17498764,17202180,17795352
karen,land,2,Buy a property,3,26248146,25803270,26693028
karen,land,2,Buy a property,4,34997528,34404360,35590704
karen,land,2,Buy a property,5,43746910,43005450,44488380
karen,land,2,Buy a property,6,52496292,51606540,53386056
karen,land,2,Buy a property,7,61245674,60207630,62283732
karen,land,2,Buy a property,8,69995056,68808720,71181408
karen,land,2,Buy a property,9,78744438,77409810,80079084
kileleshwa,land,2,Buy a property,1,31046348,10590552,51502146
kileleshwa,land,2,Buy a property,2,62092696,21181104,103004292
kileleshwa,land,2,Buy a property,3,93139044,31771656,154506438
kileleshwa,land,2,Buy a property,4,124185392,42362208,206008584
kileleshwa,land,2,Buy a property,5,155231740,52952760,257510730
kileleshwa,land,2,Buy a property,6,186278088,63543312,309012876
kileleshwa,land,2,Buy a property,7,217324436,74133864,360515022
kileleshwa,land,2,Buy a property,8,248370784,84724416,412017168
kileleshwa,land,2,Buy a property,9,279417132,95314968,463519314
kilimani,land,2,Buy a property,1,48195749,7414728,88976766
kilimani,land,2,Buy a property,2,96391498,14829456,177953532
kilimani,land,2,Buy a property,3,144587247,22244184,266930298
kilimani,land,2,Buy a property,4,192782996,29658912,355907064
kilimani,land,2,Buy a property,5,240978745,37073640,444883830
kilimani,land,2,Buy a property,6,289174494,44488368,533860596
kilimani,land,2,Buy a property,7,337370243,51903096,622837362
kilimani,land,2,Buy a property,8,385565992,59317824,711814128
kilimani,land,2,Buy a property,9,433761741,66732552,800790894
lavington,land,2,Buy a property,1,28543415,26686434,30400398
lavington,land,2,Buy a property,2,57086830,53372868,60800796
lavington,land,2,Buy a property,3,85630245,80059302,91201194
lavington,land,2,Buy a property,4,114173660,106745736,121601592
lavington,land,2,Buy a property,5,142717075,133432170,152001990
lavington,land,2,Buy a property,6,171260490,160118604,182402388
lavington,land,2,Buy a property,7,199803905,186805038,212802786
lavington,land,2,Buy a property,8,228347320,213491472,243203184
lavington,land,2,Buy a property,9,256890735,240177906,273603582
parklands,land,2,Buy a property,1,57787076,44357538,71216616
parklands,land,2,Buy a property,2,115574152,88715076,142433232
parklands,land,2,Buy a property,3,173361228,133072614,213649848
parklands,land,2,Buy a property,4,231148304,177430152,284866464
parklands,land,2,Buy a property,5,288935380,221787690,356083080
parklands,land,2,Buy a property,6,346722456,266145228,427299696
parklands,land,2,Buy a property,7,404509532,310502766,498516312
parklands,land,2,Buy a property,8,462296608,354860304,569732928
parklands,land,2,Buy a property,9,520083684,399217842,640949544
runda,land,2,Buy a property,1,12282750,10322178,14243322
runda,land,2,Buy a property,2,24565500,20644356,28486644
runda,land,2,Buy a property,3,36848250,30966534,42729966
runda,land,2,Buy a property,4,49131000,41288712,56973288
runda,land,2,Buy a property,5,61413750,51610890,71216610
runda,land,2,Buy a property,6,73696500,61933068,85459932
runda,land,2,Buy a property,7,85979250,72255246,99703254
runda,land,2,Buy a property,8,98262000,82577424,113946576
runda,land,2,Buy a property,9,110544750,92899602,128189898
upper-hill,land,2,Buy a property,1,73640565,66732576,80548554
upper-hill,land,2,Buy a property,2,147281130,133465152,161097108
upper-hill,land,2,Buy a property,3,220921695,200197728,241645662
upper-hill,land,2,Buy a property,4,294562260,266930304,322194216
upper-hill,land,2,Buy a property,5,368202825,333662880,402742770
upper-hill,land,2,Buy a property,6,441843390,400395456,483291324
upper-hill,land,2,Buy a property,7,515483955,467128032,563839878
upper-hill,land,2,Buy a property,8,589124520,533860608,644388432
upper-hill,land,2,Buy a property,9,662765085,600593184,724936986
westlands,land,2,Buy a property,1,63351886,59303190,67400586
westlands,land,2,Buy a property,2,126703772,118606380,134801172
westlands,land,2,Buy a property,3,190055658,177909570,202201758
westlands,land,2,Buy a property,4,253407544,237212760,269602344
westlands,land,2,Buy a property,5,316759430,296515950,337002930
westlands,land,2,Buy a property,6,380111316,355819140,404403516
westlands,land,2,Buy a property,7,443463202,415122330,471804102
westlands,land,2,Buy a property,8,506815088,474425520,539204688
westlands,land,2,Buy a property,9,570166974,533728710,606605274
mass-media,land,2,Buy a property,1,1334652,1334652,1334652
mass-media,land,2,Buy a property,2,2669304,2669304,2669304
mass-media,land,2,Buy a property,3,4003956,4003956,4003956
mass-media,land,2,Buy a property,4,5338608,5338608,5338608
mass-media,land,2,Buy a property,5,6673260,6673260,6673260
mass-media,land,2,Buy a property,6,8007912,8007912,8007912
mass-media,land,2,Buy a property,7,9342564,9342564,9342564
mass-media,land,2,Buy a property,8,10677216,10677216,10677216
mass-media,land,2,Buy a property,9,12011868,12011868,12011868
nasr-city,land,2,Buy a property,1,34800000,34800000,34800000
nasr-city,land,2,Buy a property,2,69600000,69600000,69600000
nasr-city,land,2,Buy a property,3,104400000,104400000,104400000
nasr-city,land,2,Buy a property,4,139200000,139200000,139200000
nasr-city,land,2,Buy a property,5,174000000,174000000,174000000
nasr-city,land,2,Buy a property,6,208800000,208800000,208800000
nasr-city,land,2,Buy a property,7,243600000,243600000,243600000
nasr-city,land,2,Buy a property,8,278400000,278400000,278400000
nasr-city,land,2,Buy a property,9,313200000,313200000,313200000
plateau-area,land,2,Buy a property,1,810000000,720000000,900000000
plateau-area,land,2,Buy a property,2,1620000000,1440000000,1800000000
plateau-area,land,2,Buy a property,3,2430000000,2160000000,2700000000
plateau-area,land,2,Buy a property,4,3240000000,2880000000,3600000000
plateau-area,land,2,Buy a property,5,4050000000,3600000000,4500000000
plateau-area,land,2,Buy a property,6,4860000000,4320000000,5400000000
plateau-area,land,2,Buy a property,7,5670000000,5040000000,6300000000
plateau-area,land,2,Buy a property,8,6480000000,5760000000,7200000000
plateau-area,land,2,Buy a property,9,7290000000,6480000000,8100000000
zone-4,land,2,Buy a property,1,540000000,480000000,600000000
zone-4,land,2,Buy a property,2,1080000000,960000000,1200000000
zone-4,land,2,Buy a property,3,1620000000,1440000000,1800000000
zone-4,land,2,Buy a property,4,2160000000,1920000000,2400000000
zone-4,land,2,Buy a property,5,2700000000,2400000000,3000000000
zone-4,land,2,Buy a property,6,3240000000,2880000000,3600000000
zone-4,land,2,Buy a property,7,3780000000,3360000000,4200000000
zone-4,land,2,Buy a property,8,4320000000,3840000000,4800000000
zone-4,land,2,Buy a property,9,4860000000,4320000000,5400000000
